# Eelst 		 Emultipole 
     -0.00422309      -0.00065970
      0.00004045       0.00010757
     -0.00055529      -0.00027934
     -0.00103780      -0.00029791
     -0.00590158       0.00175479
     -0.00043304      -0.00005451
     -0.00025469      -0.00002925
     -0.00146625      -0.00021085
      0.00002888       0.00010097
     -0.00024770      -0.00013990
     -0.00033743      -0.00016656
     -0.00449055      -0.00058988
      0.00003870       0.00030635
      0.00003733       0.00010479
     -0.00042756       0.00013417
     -0.00260629       0.00065192
     -0.00161069      -0.00036438
     -0.01367086       0.00154442
     -0.00007902      -0.00000929
     -0.00035208      -0.00000449
     -0.00229686      -0.00028533
     -0.00050470      -0.00028009
     -0.00008382       0.00025529
     -0.00082740       0.00025899
     -0.00338596      -0.00092256
     -0.00004182       0.00016475
     -0.00499473      -0.00089200
     -0.00007807      -0.00001221
     -0.00091762      -0.00009217
     -0.00273790      -0.00001932
     -0.00098756       0.00020520
      0.00010303       0.00020976
     -0.00045837      -0.00006939
     -0.00070342       0.00007327
     -0.00034848       0.00020385
     -0.00005889       0.00013218
     -0.00134271      -0.00036393
     -0.00852947       0.00050846
     -0.00919991       0.00163094
     -0.00393904      -0.00080836
     -0.00035146       0.00085111
     -0.00079274      -0.00023695
     -0.00065414      -0.00004871
     -0.00692161      -0.00097492
     -0.00054051      -0.00002889
     -0.01047935       0.00006758
     -0.00118347       0.00040119
     -0.00522148       0.00174480
     -0.00034554       0.00039988
      0.00013826       0.00021130
     -0.00022189       0.00017465
     -0.00137343      -0.00015087
     -0.00075525      -0.00030988
     -0.00380972       0.00000697
     -0.00028435       0.00000362
     -0.00554736      -0.00042108
     -0.00162430       0.00030517
     -0.00023957      -0.00011923
     -0.00660049       0.00056113
     -0.00193148      -0.00022302
     -0.00054888       0.00070491
     -0.00511407      -0.00034395
     -0.00018894      -0.00010965
     -0.00257918       0.00010290
     -0.00048329      -0.00015603
     -0.00026100      -0.00013260
     -0.00081903      -0.00011740
      0.00009896       0.00022180
     -0.00147910       0.00003737
     -0.00212329      -0.00024749
     -0.00142108      -0.00021623
     -0.00488558      -0.00006198
     -0.00036714      -0.00005461
     -0.00028901      -0.00004742
      0.00004076       0.00012780
     -0.00088332      -0.00002136
      0.00010043       0.00016700
     -0.00034628       0.00015766
     -0.00768098       0.00206819
     -0.00627045       0.00004950
     -0.00609487      -0.00029540
     -0.00480558      -0.00018426
     -0.00154566      -0.00004311
     -0.00222155      -0.00050276
     -0.00183205      -0.00072932
     -0.00001607       0.00009624
     -0.00271271       0.00056898
     -0.00143913      -0.00042790
     -0.00344637      -0.00023740
     -0.00083793      -0.00009812
     -0.00061010      -0.00022983
     -0.00136935      -0.00035928
     -0.00021058      -0.00013721
     -0.00229927       0.00133510
     -0.00020898       0.00020947
     -0.00168037       0.00038109
     -0.00037927      -0.00026511
      0.00003904       0.00038817
     -0.00016940       0.00002395
     -0.00000560       0.00003957
      0.00006659       0.00045411
     -0.00022459      -0.00006259
     -0.00029556       0.00000582
     -0.00150291       0.00003040
     -0.00382414      -0.00046540
     -0.00001742       0.00006503
     -0.00030544      -0.00015700
     -0.00047534      -0.00007828
     -0.00116693       0.00046192
     -0.00764225      -0.00038921
     -0.00059555      -0.00031864
     -0.00018207      -0.00008513
     -0.00150764      -0.00014488
      0.00001421       0.00025432
     -0.00003219       0.00011464
     -0.00069520      -0.00003012
     -0.00006379       0.00022897
     -0.00245607      -0.00046082
      0.00011383       0.00018535
      0.00002679       0.00013502
     -0.00214992       0.00063595
     -0.00309546      -0.00089126
     -0.00055778      -0.00002109
     -0.00060346       0.00026842
     -0.00506064      -0.00102277
     -0.00046486      -0.00028161
     -0.00125290      -0.00053259
      0.00000127       0.00023025
     -0.00009866       0.00009211
     -0.00009319       0.00006451
     -0.00019832      -0.00011776
     -0.00644261      -0.00005663
     -0.00506782      -0.00113105
